城市,区县,2020_CEADs,2020_CCG,2020_均值,2020_CCG五年期,2020_差异水平
重庆,渝中区,142.466208107044,165.27393713237527,153.87007261970962,242.3214977257394,3.380725663128761
重庆,大渡口区,300.9076883518698,377.11100991500786,339.00934913343883,463.9052074912979,17.129162461443872
重庆,江北区,595.6449979612821,705.1225435312945,650.3837707462883,901.5601617474749,18.428093570479874
重庆,沙坪坝区,977.8827770820427,1111.8050162053637,1044.8438966437031,1699.1758559045848,17.16540259211558
重庆,九龙坡区,868.7761372864667,1024.1133313815292,946.444734333998,1395.9741304057825,25.4950373687766
重庆,南岸区,774.3272429280306,833.7680828692246,804.0476628986276,1227.9120811830944,4.394283592812459
重庆,北碚区,701.0119232074793,801.0644252171774,751.0381742123284,1171.601478000186,13.328887268479289
重庆,渝北区,1628.4546148277868,1771.3346581967903,1699.8946365122886,2481.6670564565866,12.009395379359288
重庆,巴南区,657.8528457409028,715.3107748945727,686.5818103177378,1029.6947247359494,4.808478134747422
重庆,涪陵区,769.3164813839995,836.729022955763,803.0227521698812,1182.1092103165865,5.659180575998604
重庆,长寿区,685.7374836202147,774.2230899858841,729.9802868030495,1176.8763493451843,10.725909555983227
重庆,江津区,602.2794809243411,666.9975886876888,634.638534806015,969.0601741453866,6.599715023211646
重庆,合川区,525.9955879747553,580.2019730314903,553.0987805031227,828.5503459961037,5.312490796392991
重庆,永川区,662.4128425640561,725.4957389870846,693.9542907755704,1007.9003723572532,5.734458125002824
重庆,南川区,287.84353698669486,317.9300729031643,302.88680494492957,464.74779441338615,2.988574043750721
重庆,綦江区—万盛经开区,338.751008533882,378.21301161847316,358.4820100761776,549.7400988554436,4.3440106997764465
重庆,大足区,488.16063729393966,559.2834905470233,523.7220639204816,664.9010292804596,9.658673184385297
重庆,璧山区,611.0105301063214,702.4923203196759,656.7514252129986,961.9053589236864,12.74290031106666
重庆,铜梁区,503.00028838903575,586.5393221218761,544.7698052554559,765.1669700168131,12.810493697873225
重庆,潼南区,236.1049992034025,266.0110184507677,251.05800882708513,340.89287537985365,3.5624037305249674
重庆,荣昌区,359.97868960769694,387.79437224714513,373.88653092742106,550.6009399794711,2.069377034736491
四川广安,广安区,474.1297853720575,894.5894720842601,684.3596287281588,1254.1107202221465,258.32375366540896
四川广安,岳池县,178.0942110284449,338.23001403430686,258.1621125313759,462.78279751781884,99.33090162955509
四川广安,武胜县,147.1713833322445,295.02171874263973,221.0965510374421,397.3859123746297,98.86957339856689
四川广安,邻水县,127.51492157900076,245.84824499073852,186.68158328486965,348.09358444436657,75.00887437996052
四川广安,华蓥市,136.9273004256989,246.31055014805466,191.6189252868768,373.9603187743778,62.440050229436594
